grid_id,density,district,lon,lat
86585,75,新北市淡水區,121.44157180180197,25.198014711712155
86586,85,新北市淡水區,121.44157180180197,25.198915612613057
86587,85,新北市淡水區,121.44157180180197,25.19981651351396
86588,36,新北市淡水區,121.44157180180197,25.200717414414857
86589,37,新北市淡水區,121.44157180180197,25.201618315315763
86590,23,新北市淡水區,121.441571801802,25.20251921621667
86591,23,新北市淡水區,121.44157180180201,25.203420117117563
86592,23,新北市淡水區,121.44157180180197,25.20432101801846
86593,22,新北市淡水區,121.44157180180197,25.205221918919367
86594,13,新北市淡水區,121.44157180180197,25.206122819820273
86595,7,新北市淡水區,121.44157180180198,25.20702372072118
86596,8,新北市淡水區,121.441571801802,25.207924621622077
86597,8,新北市淡水區,121.44157180180198,25.20882552252298
86598,8,新北市淡水區,121.441571801802,25.209726423423884
86599,7,新北市淡水區,121.44157180180198,25.210627324324783
86600,5,新北市淡水區,121.441571801802,25.211528225225685
86601,5,新北市淡水區,121.44157180180198,25.212429126126583
86602,5,新北市淡水區,121.44157180180198,25.213330027027485
86603,6,新北市淡水區,121.441571801802,25.21423092792839
86604,5,新北市淡水區,121.44157180180201,25.215131828829296
86605,5,新北市淡水區,121.44157180180197,25.21603272973019
86606,3,新北市淡水區,121.44157180180197,25.21693363063109
86607,3,新北市淡水區,121.44157180180198,25.217834531532
86608,3,新北市淡水區,121.44157180180198,25.218735432432897
86609,3,新北市淡水區,121.44157180180197,25.21963633333379
86610,3,新北市淡水區,121.441571801802,25.2205372342347
86611,2,新北市淡水區,121.44157180180198,25.221438135135607
86612,2,新北市淡水區,121.441571801802,25.22233903603651
86613,5,新北市淡水區,121.44157180180196,25.223239936937407
86614,4,新北市淡水區,121.44157180180198,25.224140837838306
86615,4,新北市淡水區,121.441571801802,25.22504173873922
86616,3,新北市淡水區,121.44157180180197,25.225942639640113
86697,1,新北市三峽區,121.44247270270287,24.836753450450452
86698,1,新北市三峽區,121.44247270270289,24.83765435135135
86699,1,新北市三峽區,121.44247270270287,24.838555252252252
86700,1,新北市三峽區,121.44247270270286,24.83945615315316
86701,1,新北市三峽區,121.44247270270287,24.84035705405406
86705,1,新北市三峽區,121.44247270270287,24.843960657657664
86706,1,新北市三峽區,121.44247270270287,24.844861558558566
86707,3,新北市三峽區,121.44247270270287,24.84576245945947
86708,3,新北市三峽區,121.44247270270289,24.84666336036037
86709,3,新北市三峽區,121.44247270270287,24.847564261261276
86710,3,新北市三峽區,121.44247270270287,24.848465162162178
86711,5,新北市三峽區,121.44247270270287,24.849366063063073
86712,5,新北市三峽區,121.44247270270287,24.850266963963975
86713,5,新北市三峽區,121.44247270270287,24.85116786486488
86714,4,新北市三峽區,121.44247270270289,24.85206876576578
86715,4,新北市三峽區,121.44247270270289,24.852969666666684
86716,4,新北市三峽區,121.44247270270289,24.853870567567586
86717,4,新北市三峽區,121.44247270270289,24.85477146846849
86718,1,新北市三峽區,121.44247270270287,24.855672369369387
86791,3,新北市三峽區,121.44247270270289,24.921438135135237
86792,4,新北市三峽區,121.4424727027029,24.922339036036142
86793,6,新北市三峽區,121.44247270270289,24.923239936937044
86794,10,新北市三峽區,121.44247270270289,24.924140837837946
86795,12,新北市三峽區,121.44247270270289,24.925041738738845
86796,12,新北市三峽區,121.44247270270289,24.925942639639743
86797,12,新北市三峽區,121.44247270270289,24.92684354054065
86798,12,新北市三峽區,121.44247270270289,24.92774444144155
86799,11,新北市三峽區,121.44247270270289,24.92864534234246
86800,9,新北市三峽區,121.44247270270286,24.929546243243358
86801,8,新北市三峽區,121.44247270270289,24.930447144144264
86802,3,新北市三峽區,121.44247270270289,24.931348045045162
86810,2,新北市三峽區,121.44247270270286,24.938555252252378
86811,2,新北市土城區,121.44247270270286,24.93945615315328
86812,2,新北市土城區,121.44247270270289,24.94035705405418
86813,2,新北市土城區,121.44247270270286,24.941257954955084
86814,2,新北市土城區,121.44247270270289,24.94215885585599
86815,2,新北市土城區,121.44247270270291,24.94305975675689
86816,2,新北市土城區,121.44247270270289,24.94396065765779
86817,2,新北市土城區,121.44247270270289,24.944861558558692
86818,2,新北市土城區,121.44247270270286,24.945762459459587
86819,2,新北市土城區,121.44247270270289,24.946663360360496
86824,6,新北市土城區,121.44247270270287,24.951167864865006
86825,14,新北市土城區,121.44247270270289,24.952068765765908
86826,42,新北市土城區,121.44247270270289,24.952969666666807
86827,70,新北市土城區,121.44247270270286,24.95387056756771
86828,70,新北市土城區,121.44247270270287,24.954771468468614
86829,70,新北市土城區,121.44247270270287,24.955672369369513
86830,56,新北市土城區,121.44247270270289,24.956573270270418
86831,56,新北市土城區,121.44247270270287,24.95747417117132
86832,57,新北市土城區,121.44247270270289,24.958375072072222
86833,44,新北市土城區,121.44247270270289,24.959275972973124
86834,37,新北市土城區,121.44247270270289,24.96017687387402
86835,23,新北市土城區,121.4424727027029,24.961077774774925
86836,16,新北市土城區,121.44247270270286,24.961978675675827
86837,20,新北市土城區,121.44247270270287,24.96287957657673
86838,10,新北市土城區,121.44247270270289,24.963780477477634
86839,15,新北市土城區,121.44247270270287,24.96468137837853
86840,23,新北市土城區,121.44247270270286,24.965582279279438
86841,32,新北市土城區,121.44247270270289,24.966483180180337
86842,50,新北市土城區,121.44247270270289,24.96738408108124
86843,53,新北市土城區,121.44247270270287,24.96828498198214
86844,58,新北市土城區,121.44247270270287,24.969185882883043
86845,74,新北市土城區,121.44247270270289,24.970086783783948
86846,81,新北市土城區,121.44247270270289,24.970987684684847
86847,88,新北市土城區,121.44247270270287,24.97188858558575
86848,87,新北市土城區,121.44247270270287,24.97278948648665
86849,73,新北市土城區,121.44247270270289,24.973690387387556
86850,78,新北市土城區,121.44247270270289,24.97459128828846
86851,75,新北市土城區,121.44247270270287,24.975492189189353
86852,79,新北市土城區,121.44247270270289,24.976393090090255
86853,71,新北市土城區,121.44247270270289,24.977293990991168
86854,58,新北市土城區,121.44247270270287,24.978194891892063
86855,55,新北市土城區,121.44247270270287,24.97909579279296
86856,50,新北市土城區,121.44247270270291,24.97999669369387
86857,52,新北市土城區,121.44247270270287,24.980897594594776
86858,51,新北市土城區,121.44247270270289,24.981798495495674
86859,54,新北市土城區,121.44247270270291,24.982699396396576
86860,54,新北市土城區,121.44247270270289,24.983600297297475
86861,44,新北市土城區,121.44247270270291,24.98450119819838
86862,51,新北市土城區,121.44247270270286,24.985402099099282
86863,48,新北市土城區,121.44247270270287,24.986303000000184
86864,42,新北市土城區,121.44247270270289,24.987203900901086
86865,36,新北市土城區,121.44247270270289,24.988104801801992
86866,28,新北市土城區,121.44247270270287,24.98900570270289
86867,28,新北市土城區,121.4424727027029,24.989906603603792
86868,14,新北市土城區,121.44247270270289,24.990807504504694
86869,9,新北市土城區,121.44247270270287,24.991708405405596
86870,7,新北市土城區,121.44247270270287,24.992609306306495
86871,4,新北市板橋區,121.44247270270286,24.9935102072074
86872,10,新北市板橋區,121.44247270270289,24.994411108108302
86873,10,新北市板橋區,121.44247270270289,24.995312009009204
86874,10,新北市板橋區,121.44247270270286,24.996212909910103
86875,13,新北市板橋區,121.44247270270289,24.997113810811005
86876,16,新北市板橋區,121.44247270270289,24.998014711711903
86877,19,新北市板橋區,121.44247270270287,24.99891561261281
86878,21,新北市板橋區,121.44247270270289,24.999816513513718
