hotel_name,min_price,biz_area,city
華山文旅,6000.0,士林觀光夜市商圈,Taipei
朗司旅館,5500.0,士林觀光夜市商圈,Taipei
皇后旅店二館,6800.0,承德路中古汽車商圈,Taipei
旅樂序精品旅館二館,2488.0,承德路中古汽車商圈,Taipei
東門3號膠囊旅店,650.0,承德路中古汽車商圈,Taipei
台北北投雅樂軒酒店,11000.0,新北投溫泉商圈,Taipei
柯達大飯店台北天津 ,1500.0,承德路中古汽車商圈,Taipei
東驛 E-HOUSE,7000.0,承德路中古汽車商圈,Taipei
錦棧商旅,14800.0,士林捷運站周邊,Taipei
東旅,5800.0,天母商圈,Taipei
樂山水靜旅館 OrigInn,8880.0,承德路中古汽車商圈,Taipei
洛碁大飯店南港館,3000.0,西湖商圈,Taipei
快意旅店,8000.0,士林觀光夜市商圈,Taipei
陽光士林珮柏旅館,6000.0,石牌捷運商圈,Taipei
侘侘行旅,15000.0,承德路中古汽車商圈,Taipei
愛玩客旅店,500.0,承德路中古汽車商圈,Taipei
柯達大飯店 台北長安,1000.0,士林觀光夜市商圈,Taipei
尚美精旅,15000.0,承德路中古汽車商圈,Taipei
慕誠行旅,100.0,士林觀光夜市商圈,Taipei
町記憶旅店2館,16800.0,承德路中古汽車商圈,Taipei
旅晨行旅,1300.0,承德路中古汽車商圈,Taipei
世民酒店台北北門,6000.0,承德路中古汽車商圈,Taipei
皇家玫瑰旅館 雙城館,3000.0,天母商圈,Taipei
瑞桑德旅店 北車館,12800.0,承德路中古汽車商圈,Taipei
亞太飯店 北投館,10000.0,新北投溫泉商圈,Taipei
旅樂序精品旅館五館,5200.0,承德路中古汽車商圈,Taipei
凱達大飯店,9800.0,承德路中古汽車商圈,Taipei
台北臥客旅店,3000.0,承德路中古汽車商圈,Taipei
台灣柒天精品旅店,2000.0,臺北大橋頭延三商圈,Taipei
謙商旅(谷墨商旅-師大館),15880.0,承德路中古汽車商圈,Taipei
台北這地方微旅店,1500.0,天母商圈,Taipei
阿樹國際旅店,10400.0,士林捷運站周邊,Taipei
文舺行旅,2600.0,承德路中古汽車商圈,Taipei
儷客旅店-站前店,3000.0,承德路中古汽車商圈,Taipei
富裕自由旅店林森館,10000.0,承德路中古汽車商圈,Taipei
南陽街壹號旅店,3000.0,承德路中古汽車商圈,Taipei
漫映旅舍,1500.0,士林捷運站周邊,Taipei
和昌商務旅館台北西門館,3500.0,承德路中古汽車商圈,Taipei
合星旅館,1000.0,士林觀光夜市商圈,Taipei
好駐旅館,4360.0,士林觀光夜市商圈,Taipei
智慧環境會館-菁山遊憩區,3500.0,行義路溫泉美食商圈,Taipei
城市商旅 北門館,9000.0,承德路中古汽車商圈,Taipei
慶爾喜旅館長沙一館,2200.0,承德路中古汽車商圈,Taipei
慶爾喜旅館長沙二館,10000.0,承德路中古汽車商圈,Taipei
泊居旅店二館 ,1500.0,承德路中古汽車商圈,Taipei
睡覺盒子旅館,1300.0,承德路中古汽車商圈,Taipei
