dag,ready_table,db_rows,api_rows,diff(db-api),chart_component_ids,component_names,dashboards,chart_row_counts,chart_sum_data,chart_sum_value,schedule,source_type,api_note
proj_city_dashboard/D050303_1,work_park,880,880,0,103|104,公園綠地|都市綠地,氣候變遷(台北)|都市規劃(台北),4|3,1913|754,|,"0 2 4 6,12 *",data.taipei GeoJSON,download-file
proj_city_dashboard/D050303_5,work_permeable_paving_schoool,0,80,-80,162,透水鋪面,防災都市(台北),3,248,,0 0 1 * *,data.taipei API,download-file
proj_city_dashboard/D050303_6,work_permeable_paving_parking,23,23,0,162,透水鋪面,防災都市(台北),3,248,,0 0 1 * *,data.taipei API,download-file
proj_city_dashboard/D050303_7,work_permeable_paving_park,83,102,-19,162,透水鋪面,防災都市(台北),3,248,,0 0 1 * *,data.taipei API,download-file
proj_city_dashboard/D050303_8,work_permeable_paving_sidewalk,848,848,0,162,透水鋪面,防災都市(台北),3,248,,0 0 1 * *,data.taipei API,download-file
proj_city_dashboard/D050303_9,work_permeable_paving_pac,0,26,-26,162,透水鋪面,防災都市(台北),3,248,,0 0 1 * *,data.taipei API,download-file
proj_city_dashboard/D050401_1,work_soil_liquefaction,136,,,115,土壤液化潛勢,圖資資訊(台北),3,,,"0 5 2 5,11 *",data.taipei GeoJSON,soil.taipei 已改為登入頁
proj_city_dashboard/D050502,moenv_air_quality,19,84,-65,174,空氣品質,氣候變遷(台北),21,279,,20 * * * *,MOENV API,moenv aqx_p_432
proj_city_dashboard/D050601,env_greenhouse_gas_stat,20,20,0,173,溫室氣體排放統計,氣候變遷(台北),5,1053,,"0 1 18 5,11 *",data.taipei api,data.taipei rid=047024e1-b7a2-4b74-b6ac-e9c2a0072593
proj_city_dashboard/D070202,stat_power_usage,57,,,175,用電量統計,氣候變遷(台北),20,236977944,,"0 5 27 3,9 *",data.taipei API,tsis.dbas 主計處內網 CSV
proj_city_dashboard/D100101,nursery_room_info,526,526,0,155,哺集乳室分佈,婦幼資源(台北),36,3228,,0 0 1 * *,data.taipei API,data.taipei rid=4350117f-8697-4903-8a49-a7a59f30eeb1
proj_city_dashboard/D100102_1,childcare_family_hub,13,13,0,150,育兒支持資源,婦幼資源(台北),96,314,,0 0 1 * *,data.taipei API,data.taipei rid=5c09f39f-79cc-45b8-be8e-9b3ea8b220e3
proj_city_dashboard/D100102_2,childcare_parenting_garden,13,13,0,150,育兒支持資源,婦幼資源(台北),96,314,,0 0 1 * *,data.taipei API,data.taipei rid=4bfa01ad-7ba0-4b7a-9c1b-f9c58a2cd751
proj_city_dashboard/D100102_3,childcare_homecare_hub,12,12,0,150,育兒支持資源,婦幼資源(台北),96,314,,0 0 1 * *,data.taipei API,data.taipei rid=5cf938d7-350e-433b-b8be-280710038d74
proj_city_dashboard/D100102_4,childcare_designated_care_center,23,23,0,150,育兒支持資源,婦幼資源(台北),96,314,,0 0 1 * *,data.taipei API,data.taipei rid=57685fb2-cc92-4874-8588-e5a1b1b15b50
proj_city_dashboard/D100102_5,childcare_community_care_hub,62,62,0,150,育兒支持資源,婦幼資源(台北),96,314,,0 0 1 * *,data.taipei API,data.taipei rid=f1418a7a-4bdf-41fc-869c-63703dc16363
proj_city_dashboard/D100102_6,childcare_gov_priv_infant_care,29,29,0,150,育兒支持資源,婦幼資源(台北),96,314,,0 0 1 * *,data.taipei API,data.taipei rid=a02ccc34-dd28-4c5d-b527-c5433ec1a453
proj_city_dashboard/D100102_7,childcare_private_childcare,161,223,-62,150,育兒支持資源,婦幼資源(台北),96,314,,0 0 1 * *,data.taipei API,unresolved urls=[] rids=['e7cdaca3-e9da-46f9-b857-395e6e8e06a6'] pages=['081df75e-85c7-464c-b125-546920911c5c'] ntpc=[] 
proj_city_dashboard/D100102_8,childcare_resource_hub,1,1,0,150,育兒支持資源,婦幼資源(台北),96,314,,0 0 1 * *,data.taipei API,data.taipei rid=1015e1db-bbf0-4cef-9bea-9928e84b3735
